lad, wizard, 1.5508, 2.2701
food, rooster, 2.1027, 1.9410
car, automobile, 1.2583, 0.5912
lad, brother, 1.5508, 2.2701
rooster, voyage, 2.5376, 3.1017
monk, oracle, 2.7865, 2.4928
boy, lad, 0.9597, 0.9597
brother, monk, 0.3330, 1.2178
journey, voyage, 0.2582, 0.6838
tool, implement, 0.6838, 0.2582
noon, string, 2.4945, 2.8673
shore, woodland, 1.9194, 1.9194
chord, smile, 2.6761, 3.9530
midday, noon, 0.9483, 0.9483
bird, cock, 0.6267, 0.3330
monk, slave, 1.9016, 1.4760
glass, magician, 2.0850, 2.5854
forest, graveyard, 3.8210, 2.8081
journey, car, 1.2463, 1.5913
gem, jewel, 0.5912, 1.3105
bird, crane, 1.5115, 1.3498
coast, hill, 1.2238, 2.1775
coast, forest, 2.1243, 3.2121
furnace, stove, 1.2583, 0.6197
cemetery, woodland, 3.5274, 3.1017
coast, shore, 1.8445, 2.8613
food, fruit, 0.8493, 1.5853
asylum, madhouse, 1.2178, 1.6435
crane, implement, 2.2152, 1.8268
magician, wizard, 0.9597, 0.9597
