asylum, madhouse, 1.9640, 1.7888
bird, cock, 7.6922, 7.3436
bird, crane, 7.7649, 7.3005
boy, lad, 1.2509, 1.2509
brother, monk, 4.2906, 4.4659
car, automobile, 1.2509, 1.2509
cemetery, woodland, 11.5564, 12.1960
chord, smile, 8.4484, 7.8087
coast, forest, 6.6545, 5.8395
coast, hill, 2.9068, 2.0918
coast, shore, 0.5378, 0.7131
crane, implement, 2.3266, 2.6771
food, fruit, 11.5868, 13.4514
food, rooster, 14.7422, 16.5455
forest, graveyard, 8.3889, 7.8631
furnace, stove, 11.5013, 11.0350
gem, jewel, 8.0567, 8.2300
glass, magician, 12.7099, 13.5843
journey, car, 7.5056, 7.5056
journey, voyage, 1.9640, 1.7888
lad, brother, 5.1790, 4.8285
lad, wizard, 3.7528, 3.7528
magician, wizard, 3.0397, 3.2150
midday, noon, 1.2509, 1.2509
monk, oracle, 3.7528, 3.7528
monk, slave, 2.3266, 2.6771
noon, string, 8.3465, 9.1615
rooster, voyage, 14.4062, 13.1287
shore, woodland, 9.8099, 8.9336
tool, implement, 0.5378, 0.7131
